Fecha;Aceites lubricantes;Asfalto ;Bunker;Ceras;Combustible turbo jet;Diesel bajo azufre;Diesel ultra bajo azufre;Gas licuado de petróleo;Gasolina de aviación;Gasolina regular;Gasolina superior;Grasas lubricantes;Kerosina;Mezclas oleosas;Naftas;Petcoke;Petróleo crudo;Solventes;Butano;Diesel alto azufre;MTBE;Orimulsión;Petróleo reconstituido;Total importación
dic/2017;0.00;3150.02;56960.00;0.00;80037.74;0.00;0.00;595421.43;4729.14;679441.47;803216.88;0.00;0.00;0.00;0.00;155599.02;0.00;0.00;72.29;1305047.55;0.00;0.00;0.00;3683675.54
ene/2018;0.00;5302.14;134033.14;0.00;92894.94;1153831.89;21987.53;396363.05;0.00;571858.06;535784.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;78.78;0.00;0.00;0.00;0.00;2912134.23
feb/2018;0.00;3721.91;85318.21;0.00;52337.76;921684.12;29946.48;591000.02;0.00;509366.10;629467.91;0.00;0.00;0.00;0.00;407070.30;0.00;0.00;0.37;0.00;0.00;0.00;0.00;3229913.18
mar/2018;0.00;6182.35;84988.82;0.00;23906.14;889227.10;12064.95;644245.40;15747.16;563899.06;529507.15;0.00;0.00;0.00;0.00;418762.45;0.00;0.00;74.03;0.00;0.00;0.00;0.00;3188604.61
abr/2018;0.00;1877.72;219805.45;0.00;70906.87;696962.77;0.00;188590.81;0.00;510830.00;617512.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;72.29;0.00;0.00;0.00;0.00;2306558.19
may/2018;0.00;4300.00;111460.41;0.00;72992.51;1592580.34;38055.30;636234.13;0.00;580825.11;580329.35;0.00;0.00;0.00;0.00;327075.21;0.00;0.00;6.96;0.00;0.00;0.00;0.00;3943859.32
jun/2018;0.00;6413.00;130426.60;0.00;34249.65;777679.91;0.00;618811.33;21208.26;463620.61;558257.59;0.00;1000.00;0.00;0.00;0.00;0.00;0.00;144.57;0.00;0.00;0.00;0.00;2611811.52
jul/2018;0.00;8518.71;148012.12;0.00;40811.00;793683.41;0.00;584386.15;4005.99;543333.77;784601.77;0.00;0.00;0.00;0.00;385600.49;0.00;0.00;5.84;0.00;0.00;0.00;0.00;3292959.25
ago/2018;0.00;3434.71;214625.41;0.00;81985.47;1281364.78;0.00;408658.63;20437.54;663834.04;541557.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;74.63;0.00;0.00;0.00;0.00;3215972.55
sep/2018;0.00;4473.29;26753.84;0.00;94980.04;896266.43;0.00;449846.76;18379.30;454442.87;536897.09;0.00;0.00;0.00;0.00;406985.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2889025.05
